RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,SOS SEASON,ECR VS. ADP
505,16,Ko Kieft,TB,TE116,11,3 out of 5 stars,-
506,16,Devin Culp,TB,TE117,11,3 out of 5 stars,-
507,16,Jamal Agnew,FA,WR199,-,-,-
508,16,Reggie Gilliam,BUF,RB150,12,2 out of 5 stars,-
509,16,Alec Ingold,MIA,RB151,6,3 out of 5 stars,-
510,16,Darrynton Evans,BUF,RB152,12,2 out of 5 stars,-
511,16,Ronald Jones II,FA,RB153,-,-,-
512,16,Jonathan Ward,PIT,RB154,9,4 out of 5 stars,-
513,16,Patrick Ricard,BAL,RB155,14,3 out of 5 stars,-
514,16,C.J. Ham,MIN,RB156,6,3 out of 5 stars,-
515,16,Mason Tipton,NO,WR200,12,3 out of 5 stars,-
516,16,Lew Nichols III,PHI,RB157,5,4 out of 5 stars,-
517,16,George Holani,SEA,RB158,10,4 out of 5 stars,-
518,16,Hunter Long,LAR,TE118,6,3 out of 5 stars,-
519,16,Mike Strachan,CAR,WR201,11,5 out of 5 stars,-
520,16,Ty Montgomery II,FA,RB159,-,-,-
521,16,Jordan Scarlett,FA,RB160,-,-,-
522,16,Anthony McFarland Jr.,FA,RB161,-,-,-
523,16,Michael Burton,DEN,RB162,14,4 out of 5 stars,-
524,16,Brandon Bolden,FA,RB163,-,-,-
525,16,Derrick Gore,FA,RB164,-,-,-
526,16,Jermar Jefferson,DET,RB165,5,3 out of 5 stars,-
527,16,Mike Boone,CAR,RB166,11,4 out of 5 stars,-
528,16,Demetric Felton Jr.,CHI,RB167,7,2 out of 5 stars,-
529,16,Dontrell Hilliard,FA,RB168,-,-,-
530,16,Julius Chestnut,TEN,RB169,5,3 out of 5 stars,-
531,16,Jashaun Corbin,NYG,RB170,11,3 out of 5 stars,-
532,16,Snoop Conner,DAL,RB171,7,3 out of 5 stars,-
533,16,Tony Jones Jr.,ARI,RB172,11,2 out of 5 stars,-
534,16,Tyrion Davis-Price,PHI,RB173,5,4 out of 5 stars,-
535,16,Nick Bawden,FA,RB174,-,-,-
536,16,Jonathan Williams,FA,RB175,-,-,-
537,16,Wendell Smallwood,FA,RB176,-,-,-
538,16,Patrick Laird,FA,RB177,-,-,-
539,16,Pooka Williams Jr.,FA,RB178,-,-,-
540,16,Devine Ozigbo,FA,RB179,-,-,-
541,16,Brandon Johnson,FA,RB180,-,-,-
542,16,Deon Jackson,FA,RB181,-,-,-
543,16,Ty James,MIN,WR202,6,3 out of 5 stars,-
544,16,Ihmir Smith-Marsette,CAR,WR203,11,5 out of 5 stars,-
545,16,Devron Harper,FA,WR204,-,-,-
546,16,Russell Gage,FA,WR205,-,-,-
547,16,Deven Thompkins,CAR,WR206,11,5 out of 5 stars,-
548,16,N'Keal Harry,MIN,WR207,6,3 out of 5 stars,-
549,16,Marquez Callaway,FA,WR208,-,-,-
550,16,Lynn Bowden Jr.,FA,WR209,-,-,-
551,16,David Moore,CAR,WR210,11,5 out of 5 stars,-
552,16,Equanimeous St. Brown,NO,WR211,12,3 out of 5 stars,-
553,16,Tre'Quan Smith,DET,WR212,5,4 out of 5 stars,-
554,16,Keith Kirkwood,BAL,WR213,14,3 out of 5 stars,-
555,16,Bisi Johnson,FA,WR214,-,-,-
556,16,Trishton Jackson,MIN,WR215,6,3 out of 5 stars,-
557,16,Jalen Reagor,NE,WR216,14,3 out of 5 stars,-
558,16,Rakim Jarrett,TB,WR217,11,3 out of 5 stars,-
559,16,Lideatrick Griffin,LV,WR218,10,3 out of 5 stars,-
560,16,Jeff Foreman,LV,WR219,10,3 out of 5 stars,-
561,16,Velus Jones Jr.,CHI,WR220,7,4 out of 5 stars,-
562,16,Dee Eskridge,SEA,WR221,10,3 out of 5 stars,-
563,16,Alex Erickson,FA,WR222,-,-,-
564,16,Marquise Goodwin,FA,WR223,-,-,-
565,16,River Cracraft,MIA,WR224,6,2 out of 5 stars,-
